date,GB,Aberdeen City,Aberdeenshire,Angus council,Antrim And Newtownabbey,Ards And North Down,Argyll and Bute Council,Bath and North East Somerset,Bedford,Belfast,Blackburn with Darwen,Blackpool,Blaenau Gwent,Borough of Halton,Bracknell Forest,Bridgend County Borough,Brighton and Hove,Buckinghamshire,Caerphilly County Borough,Cambridgeshire,Cardiff,Carmarthenshire,Causeway Coast and Glens,Central Bedfordshire,Ceredigion,Cheshire East,Cheshire West and Chester,City of Bristol,Clackmannanshire,Conwy Principal Area,Cornwall,County Durham,Cumbria,Darlington,Denbighshire,Derby,Derbyshire,Derry And Strabane,Devon,Dorset,Dumfries and Galloway,Dundee City Council,East Ayrshire Council,East Dunbartonshire Council,East Lothian Council,East Renfrewshire Council,East Riding of Yorkshire,East Sussex,Edinburgh,Essex,Falkirk,Fermanagh And Omagh,Fife,Flintshire,Glasgow City,Gloucestershire,Greater London,Greater Manchester,Gwynedd,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Highland Council,Inverclyde,Isle of Anglesey,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Lisburn and Castlereagh,Luton,Medway,Merseyside,Merthyr Tydfil County Borough,Mid And East Antrim,Mid Ulster,Middlesbrough,Midlothian,Milton Keynes,Monmouthshire,Moray,Na h-Eileanan an Iar,Neath Port Talbot Principle Area,Newport,Norfolk,North Ayrshire Council,North East Lincolnshire,North Lanarkshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Orkney,Oxfordshire,Pembrokeshire,Perth and Kinross,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redcar and Cleveland,Renfrewshire,Rhondda Cynon Taff,Rutland,Scottish Borders,Shetland Islands,Shropshire,Slough,Somerset,South Ayrshire Council,South Gloucestershire,South Lanarkshire,South Yorkshire,Southampton,Southend-on-Sea,Staffordshire,Stirling,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swansea,Swindon,Thurrock,Torbay,Torfaen Principal Area,Tyne and Wear,Vale of Glamorgan,Warrington,Warwickshire,West Berkshire,West Dunbartonshire Council,West Lothian,West Midlands,West Sussex,West Yorkshire,Wiltshire,Windsor and Maidenhead,Wokingham,Worcestershire,Wrexham Principal Area,York
2020-02-15,-7,-4,-4,-8,-6,-8,-11,-10,-4,-7,-7,-4,-14,-3,-5,-5,-7,-8,-10,-8,-4,-11,-5,-7,24,-5,-6,-10,-8,-10,-7,-3,-7,-7,-11,-5,-5,-5,-9,-6,-4,-7,-3,-4,-6,-11,-8,-3,-7,-7,-6,-4,-2,-6,-8,-8,-8,-7,-5,-7,-1,-8,-5,3,-6,-2,-2,-5,-3,-7,-6,-6,-5,-6,-5,0,-6,-13,-5,-6,-6,-7,-7,-11,0,-3,-5,-6,-3,-2,-3,-3,-6,-7,-7,-4,1,-5,-7,-9,-5,-9,-3,-6,-10,-7,-8,-10,-10,-5,-7,-4,-2,-9,-5,-7,-6,-8,4,-5,-5,-9,8,-6,-3,-6,-6,-2,-5,-6,-7,-4,-13,-12,-5,-7,-5,-6,-8,-3,-6,-7,-7,-6,-8,-6,-7,-7,-6,-10
2020-02-16,-6,0,-3,-8,-3,-5,0,-3,-6,-5,-3,0,-9,-5,-5,-6,-14,-12,-10,-9,-7,-2,-5,-7,36,-4,-3,-5,-9,-3,1,-2,2,-4,-4,-7,-5,-7,-6,-7,2,-3,-3,-1,-3,-1,-6,-12,3,-12,-5,-6,0,-4,-3,-4,-11,-4,7,-9,-3,-9,-9,-2,-1,5,-1,-13,-5,-3,-5,-7,-7,-11,-7,-8,-3,-15,-5,-7,-2,-2,-4,-6,2,NA,-6,-4,-7,0,-4,-5,-6,-6,0,-3,0,-4,-5,NA,-5,0,1,-7,-6,-12,0,-9,-4,-5,-7,-12,-2,NA,-6,-5,-2,-2,6,-2,-3,-6,2,-5,-2,-3,-3,-8,-9,-6,-4,-9,-2,-12,-4,-12,-4,-5,-8,-4,1,-7,-13,-6,-7,-4,-8,-6,-8,-2
2020-02-17,1,0,4,-2,-6,-1,4,2,2,-6,0,1,-5,-2,3,0,0,-1,-6,0,1,3,0,0,39,-2,0,-1,-3,6,9,-1,6,-5,3,-2,0,-1,7,7,5,3,2,4,0,2,-1,0,-1,-1,-1,-3,3,0,0,3,4,-2,19,2,4,2,2,7,9,12,12,0,0,-1,1,0,0,-7,0,6,-1,3,-2,-1,-4,-1,1,4,4,0,3,3,3,5,-2,0,-4,2,4,1,2,1,0,2,4,10,5,-1,5,2,6,3,-2,-1,-1,2,3,0,2,0,5,6,11,1,-1,-1,14,2,5,-2,-1,2,2,4,-2,5,6,-1,-2,-4,0,1,1,2,-1,-1,3,-2,1,5,0,2,0,4
2020-02-18,-1,0,3,-1,-5,-4,7,1,-3,-3,-1,-2,1,1,-1,1,-3,-4,-6,-3,-1,1,-1,0,36,-1,-1,0,-2,5,8,1,6,-5,-3,-3,-1,-1,6,4,3,0,2,3,2,-1,-1,-1,1,-4,0,-3,1,0,2,1,-2,-2,14,-1,-1,2,-1,7,6,13,5,-2,-1,-1,-4,-1,-1,-6,-2,2,-1,-1,-1,-2,-7,0,-1,-1,7,6,-3,-1,2,6,-2,0,-3,3,3,0,2,-4,-3,-2,1,10,3,-4,-3,2,8,0,-1,0,-1,-2,4,0,2,-3,4,-1,11,2,-2,-2,12,-1,0,-3,0,1,0,0,-3,-2,5,-5,-4,-4,-3,-3,-1,6,1,-3,-2,-3,-1,0,-3,-1,-1,3
2020-02-19,-2,-2,0,0,-5,-12,4,0,1,-7,-3,-7,-5,-5,-5,-2,-2,-4,-4,-4,-1,-4,-2,-3,34,-4,0,-3,-3,4,7,-1,-1,-5,-1,-4,-3,-5,5,3,-2,-1,-5,4,1,-2,-2,1,0,-3,1,-1,1,-2,0,0,-3,-5,8,-1,4,1,-3,4,2,4,6,-2,-3,-4,-5,-3,-2,-7,-6,1,-4,-1,-6,-3,-2,3,-3,-3,2,2,-3,-1,1,3,0,-1,-7,-1,3,-1,-2,-2,-3,-4,0,6,2,-5,-1,1,2,-4,-2,-2,-4,-3,4,0,2,-4,2,0,9,0,-2,-3,11,-2,-1,-2,-5,0,-1,-2,-3,0,2,-5,-4,-4,-3,-3,-3,5,0,-4,-1,-3,-1,-3,-3,1,1,1
2020-02-20,-2,3,2,-2,-4,-3,1,2,0,-2,-2,0,-4,0,1,1,-2,-5,-3,-5,-1,1,0,-3,36,-3,-2,-1,-5,2,8,-2,2,0,-4,-3,-3,-1,5,3,2,0,-3,4,0,2,-1,0,0,-4,-2,-1,0,-2,1,1,-4,-3,15,-1,1,-1,-3,4,3,12,4,-4,-1,-2,-3,-2,0,-5,-7,0,-2,-3,-3,-3,-2,-2,-1,-1,0,5,-3,1,0,6,-2,-2,-6,2,1,0,2,-2,-3,-2,0,11,4,-6,1,-2,5,0,-2,-3,-1,2,0,0,3,0,4,-2,4,-1,-3,-6,9,-1,-1,0,-4,0,-2,3,-3,-1,3,-5,-5,3,-4,-1,-1,3,2,-2,-3,-3,-2,0,-2,0,-2,2
2020-02-21,-1,-1,0,-3,-5,-5,-4,-1,2,-2,-6,-1,-2,-1,2,3,-1,-4,-2,-2,1,1,-2,0,33,-2,-3,-1,-7,0,4,-1,-2,-4,0,-1,-1,-2,5,3,-5,1,-1,3,1,-6,-1,1,-1,-2,-2,1,3,0,-6,-2,-1,-6,5,1,1,-2,0,1,4,3,5,-1,0,-4,-3,2,-1,-7,-5,7,-2,2,-4,-2,0,-3,-4,-2,0,5,0,1,3,0,-1,-1,-5,0,1,0,0,1,1,0,3,3,-1,-4,1,1,3,1,-4,-7,2,3,-1,-9,0,-2,3,0,-1,-1,0,-6,13,1,-7,1,0,2,-1,1,1,4,3,-6,-1,3,-3,1,5,-1,0,-1,0,-5,1,-1,-1,-1,1,3
2020-02-22,-2,1,-1,-1,-4,-6,-11,-1,0,-3,0,0,-2,0,1,-3,-1,-5,-2,-5,-2,-2,-1,-3,26,-1,-2,-5,-9,0,2,-2,-1,-4,-2,-1,-1,-1,3,1,0,-2,-2,4,-1,1,-2,-2,-5,-3,0,1,0,-1,-3,-1,-3,-4,5,-2,2,-1,0,-1,3,5,3,-3,0,-2,-3,-1,-1,-5,-1,5,-1,-2,-2,-2,-2,-6,-6,1,-3,-6,1,-3,0,0,0,1,-1,-3,-1,0,0,-2,-1,-15,1,-1,-1,-3,-1,-2,2,-4,-4,0,-2,3,-2,-17,-3,-2,1,-3,-3,0,-1,-4,12,0,-4,-1,-2,0,-2,-2,-1,1,1,-4,-2,-4,-2,3,1,1,-4,-2,-3,-3,1,-4,-5,-1,0,-2
2020-02-23,-2,0,1,-5,0,-2,-3,1,2,-1,1,1,-6,-1,-2,0,-3,-4,-1,-5,-3,-1,-3,-3,31,1,-3,-1,-5,-2,0,0,0,-6,-3,0,-2,-1,0,0,3,0,-4,2,3,4,0,-2,2,-5,0,1,6,2,0,-3,-3,-4,1,-2,1,-3,-2,1,-2,-1,3,-5,1,-2,-4,0,-3,-9,-3,3,-3,1,-3,-1,1,0,-6,-1,-1,NA,2,-1,-3,5,0,-1,-1,-2,-1,1,0,-1,0,NA,0,-1,4,-3,-3,-5,1,-2,-3,-1,0,-4,0,NA,-2,-1,0,1,-2,-3,0,-4,12,0,-3,-2,-1,-2,-2,-2,-1,0,-1,-3,-3,0,-6,-2,1,-4,3,-3,-4,-2,0,-1,-2,-2,-4,1
2020-02-24,-1,-7,-5,-9,0,-2,1,0,1,0,-1,-2,0,-2,3,-2,-4,-2,-4,-2,-4,0,1,-1,32,-1,0,-3,-7,2,1,-5,-3,-5,2,-1,-1,1,2,1,2,-4,0,4,-2,2,-4,-1,-5,-2,-1,2,-1,0,0,-1,0,-3,4,-1,0,2,0,0,8,5,-1,-2,-3,-1,-4,0,-1,0,-1,6,-1,0,-2,-2,-1,-5,-2,5,-3,6,2,2,-2,4,1,-1,-3,-2,-4,0,-2,-1,-1,9,2,0,-4,-3,0,-2,-3,5,-3,2,-3,8,-5,0,-1,-2,1,3,-1,-1,0,-6,9,2,-6,-2,0,-1,1,-1,0,2,3,0,-5,2,0,0,5,5,0,-1,-1,-4,0,3,-1,0,3,0
2020-02-25,4,6,5,2,3,3,3,2,4,5,8,3,11,9,8,6,5,4,9,4,1,6,2,6,38,4,8,4,6,9,6,11,8,7,4,8,8,3,7,6,9,3,-2,8,7,7,5,5,4,3,4,2,6,7,4,4,2,2,5,4,9,7,7,5,8,7,6,4,3,6,0,6,5,4,3,11,6,6,2,7,8,3,0,7,5,6,7,7,6,6,5,4,3,5,8,5,8,7,6,0,6,8,5,7,3,6,8,7,6,3,8,6,4,0,4,3,5,1,5,5,5,-1,12,8,2,9,7,4,7,3,6,5,5,5,4,5,2,4,9,6,5,2,3,3,5,7,6,5,10,7
2020-02-26,0,0,0,-2,1,-3,0,0,-1,0,0,-2,-5,0,3,2,1,-1,2,-2,-1,-2,-2,0,25,0,0,-2,2,3,-1,1,-1,-2,-3,0,-1,-1,3,1,1,-1,-1,4,0,0,-2,2,0,-2,1,-1,2,-3,0,0,0,-4,1,-1,2,2,1,-1,1,-2,1,-1,-1,-1,-3,0,-2,-2,-2,6,0,-2,-1,1,-3,-1,-1,2,0,0,0,0,1,3,0,0,-1,-1,2,1,2,0,0,-2,1,2,-1,-1,0,0,-2,0,0,-1,2,5,-1,0,-1,-3,1,1,-1,-1,-1,-6,8,0,0,0,-4,-1,1,1,1,1,1,1,-1,1,-2,0,2,1,-1,0,-1,-1,-1,1,1,1,1,-3
2020-02-27,1,2,4,-2,1,1,-3,3,2,2,2,-1,0,3,1,4,2,-1,3,-2,1,0,4,1,2,3,1,4,0,3,3,2,3,1,0,2,2,1,5,3,4,2,-1,5,4,3,3,2,0,-2,3,0,4,4,3,1,-1,-1,6,2,3,3,0,1,4,3,4,-1,5,1,0,2,1,0,1,7,2,1,-2,-1,1,1,-4,2,1,-2,6,7,0,4,-1,0,1,3,3,2,4,3,2,4,1,6,3,0,3,1,5,3,1,1,4,3,1,0,2,0,2,3,8,3,1,-6,11,3,3,5,1,0,1,3,1,3,4,3,1,6,-1,4,3,1,3,1,2,1,3,2,4,2,2,1
2020-02-28,1,0,0,-3,0,2,1,0,3,2,3,1,-3,4,4,1,-5,-1,1,-3,-4,-2,7,2,2,1,2,1,3,4,2,-2,2,1,5,2,0,3,4,2,2,2,0,4,2,4,0,-1,0,-1,4,7,4,2,0,0,-1,-3,4,2,6,1,2,3,2,0,2,0,2,2,-5,2,-1,1,1,9,2,1,2,3,3,2,-2,-2,4,8,-1,1,-1,5,1,3,-2,1,2,1,4,2,0,0,3,-1,1,-3,1,0,2,2,1,2,-1,9,1,0,4,3,6,6,12,2,2,-4,14,3,0,8,3,0,3,-3,-1,5,1,-7,2,-2,1,3,2,3,5,0,0,0,3,4,1,1,3,2
2020-02-29,1,4,3,2,-2,-1,1,3,2,-2,0,1,10,2,6,6,0,1,5,-2,3,5,3,0,4,2,2,1,-2,7,3,-4,1,5,3,3,2,-1,4,3,5,3,0,4,5,2,1,2,1,-1,3,-1,4,3,-1,3,0,-1,6,2,4,4,5,4,2,10,6,-1,5,0,2,4,2,-3,7,7,1,7,-1,0,4,1,-1,1,5,5,7,5,3,4,2,4,1,2,2,3,3,3,3,2,4,4,5,1,2,2,4,3,2,1,7,1,2,-17,0,3,5,1,14,0,3,-2,11,1,3,4,0,3,1,6,1,6,4,3,2,2,1,8,4,-1,5,2,1,0,3,4,-1,3,0,-2
2020-03-01,2,3,2,-6,-6,1,-3,6,4,2,8,4,-3,6,3,6,2,2,0,-1,3,2,1,1,12,6,2,4,-2,5,2,-5,2,2,7,5,3,3,2,5,4,-1,-5,-2,-3,3,5,3,-1,0,-1,3,1,6,-1,3,4,-1,9,3,2,4,4,6,-2,8,5,1,6,2,3,4,2,-4,2,11,3,6,1,-1,-3,1,0,6,6,NA,2,1,1,1,2,-2,-2,2,2,4,3,5,3,NA,4,6,5,4,2,2,5,8,-1,-2,1,10,-2,NA,2,6,6,-3,13,-3,5,1,18,4,-2,3,5,3,4,6,1,5,3,-3,-1,1,7,2,2,-3,-1,1,3,1,4,6,0,4,1,0
2020-03-02,4,3,2,2,1,7,6,3,5,1,3,2,0,5,9,6,4,5,2,2,2,1,2,4,10,3,4,3,-2,10,5,-2,4,1,7,4,3,4,7,6,3,4,3,9,5,10,3,6,2,2,4,2,5,4,5,5,6,0,13,5,5,4,5,4,10,8,9,3,4,3,4,3,3,-1,5,11,3,5,2,3,4,6,2,5,2,9,7,7,3,9,2,5,-1,6,4,3,5,5,3,4,6,7,5,1,7,4,6,10,3,7,5,14,0,0,4,4,4,8,15,3,3,-1,14,5,2,4,3,3,6,4,3,7,7,4,2,1,1,5,8,5,5,3,5,2,6,8,3,4,4,5
2020-03-03,3,4,-2,1,3,2,4,3,4,2,0,3,2,3,4,8,3,4,2,0,4,2,3,5,8,3,4,4,4,10,5,1,5,2,0,4,4,3,5,4,7,3,4,8,3,7,3,3,3,-1,6,1,3,2,4,1,2,1,10,4,8,3,5,5,5,7,3,2,3,4,1,4,1,2,4,8,3,3,-1,4,0,3,-1,7,6,6,5,4,2,6,3,4,-2,7,5,3,3,4,3,0,5,7,4,2,3,2,6,9,3,1,4,2,2,0,4,2,4,6,3,4,2,-3,15,4,3,6,3,1,5,2,4,2,8,1,1,3,2,4,5,10,5,2,3,2,3,5,2,4,3,2
2020-03-04,3,6,-2,4,5,1,10,0,4,3,6,4,2,4,6,5,-1,5,3,1,1,2,5,6,4,6,7,0,2,8,4,4,6,1,6,5,4,5,5,3,7,4,1,9,2,8,5,3,5,0,8,4,6,2,8,2,1,3,11,3,6,4,5,6,11,6,3,3,4,5,2,5,4,0,5,7,5,4,3,6,3,9,0,1,8,8,2,5,4,10,5,4,3,4,6,4,6,5,5,4,4,5,4,2,3,1,3,4,6,6,3,5,2,0,3,1,4,9,2,4,5,-2,19,5,3,6,5,3,5,2,2,5,5,1,4,1,3,5,2,14,5,3,1,4,1,6,2,3,6,4
2020-03-05,2,5,0,2,5,4,7,7,4,3,1,2,3,3,4,6,-5,3,5,1,5,7,6,3,4,7,6,4,3,11,7,2,7,2,4,2,4,4,7,3,9,1,0,11,7,12,7,-3,4,-5,8,3,7,6,6,5,-5,3,12,2,7,5,1,8,5,10,2,-3,6,5,1,4,4,1,-2,1,6,5,1,3,3,4,1,7,8,4,7,7,4,10,3,6,1,4,6,4,9,4,5,8,4,8,3,3,5,-4,7,4,6,4,8,11,2,0,4,1,6,9,-3,6,2,-4,7,6,5,10,6,2,0,7,5,4,7,2,3,6,2,6,4,10,6,5,-2,4,3,6,1,5,2,3
2020-03-06,6,2,-2,0,1,4,8,5,6,3,5,5,6,3,10,8,6,6,7,3,7,5,7,6,9,7,4,4,3,11,4,3,6,2,10,6,5,3,7,8,8,2,2,7,5,9,6,7,5,3,4,6,6,5,5,4,8,2,16,7,7,3,8,4,5,10,6,6,5,5,5,5,6,2,6,16,6,5,5,3,7,5,2,2,5,5,2,6,6,8,4,5,2,5,9,5,7,8,6,2,8,6,5,-2,2,3,9,12,4,6,4,7,0,-2,6,5,9,9,-1,5,5,4,22,7,5,9,5,4,9,2,6,12,8,5,4,5,7,7,7,4,4,6,7,4,5,10,6,3,7,5
2020-03-07,2,2,-2,6,4,3,1,4,2,-1,1,4,1,-1,5,1,1,2,2,-1,0,3,6,4,9,4,4,0,-2,13,1,0,4,1,9,2,3,2,6,6,9,-2,-1,4,8,2,6,3,3,-2,2,2,5,4,0,2,3,0,17,3,2,1,4,8,-2,9,7,1,2,1,6,4,5,-1,3,8,2,0,-1,2,2,3,-3,1,5,0,0,3,4,5,3,4,2,2,8,3,7,4,2,4,4,6,6,-3,1,2,4,6,-1,1,0,4,5,2,2,4,4,1,-5,3,2,2,13,3,4,1,4,1,4,0,2,8,5,0,1,-3,1,5,1,0,4,1,3,1,3,5,-5,1,0,0
2020-03-08,2,5,-2,-4,5,2,9,3,6,1,7,6,-2,3,3,3,3,2,0,2,2,2,3,4,9,4,4,3,-4,9,4,1,4,5,12,4,4,5,2,4,5,-2,-2,3,2,4,10,4,6,-2,1,6,4,7,3,2,3,2,12,2,2,6,3,6,-2,11,7,1,6,3,11,5,5,-4,5,7,4,2,3,6,3,2,-2,-2,4,NA,-3,2,3,4,1,1,1,5,8,6,6,6,4,NA,4,8,7,-2,-1,3,8,3,2,0,-4,6,1,NA,5,6,7,3,-9,2,3,2,21,6,-3,4,4,3,3,2,2,11,2,-6,2,5,7,8,1,-1,3,3,3,3,3,8,-2,3,1,3
2020-03-09,4,2,-3,0,3,1,4,5,3,0,0,0,0,2,8,2,1,4,6,2,1,0,4,5,6,2,4,0,-1,11,4,4,2,2,10,0,3,5,6,9,8,0,0,8,6,9,5,5,2,1,2,4,3,2,3,6,6,-1,13,5,6,5,5,7,11,6,8,5,1,1,5,3,4,3,4,13,2,2,1,6,0,3,2,0,4,6,1,4,5,5,1,4,0,4,4,3,7,3,3,0,5,7,5,-3,3,5,6,12,4,3,-3,13,0,0,4,4,6,6,-5,3,3,1,15,4,3,5,2,2,7,-2,4,9,4,0,2,6,3,5,6,2,4,3,6,2,5,12,0,5,3,3
