date,JM
2020-02-15,1
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,1
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,-2
2020-02-26,18
2020-02-27,2
2020-02-28,3
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,3
2020-03-13,9
2020-03-14,8
2020-03-15,7
2020-03-16,13
2020-03-17,13
2020-03-18,17
2020-03-19,18
2020-03-20,19
2020-03-21,12
2020-03-22,10
2020-03-23,18
2020-03-24,18
2020-03-25,18
2020-03-26,19
2020-03-27,20
2020-03-28,14
2020-03-29,12
2020-03-30,19
2020-03-31,19
2020-04-01,22
2020-04-02,23
2020-04-03,24
2020-04-04,16
2020-04-05,13
2020-04-06,21
2020-04-07,21
2020-04-08,20
2020-04-09,17
2020-04-10,40
2020-04-11,20
