date,GH
2020-02-15,0
2020-02-16,-2
2020-02-17,-6
2020-02-18,-3
2020-02-19,-6
2020-02-20,-5
2020-02-21,-4
2020-02-22,-2
2020-02-23,-4
2020-02-24,-4
2020-02-25,0
2020-02-26,-3
2020-02-27,-2
2020-02-28,0
2020-02-29,-1
2020-03-01,-2
2020-03-02,-3
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,6
2020-03-07,5
2020-03-08,1
2020-03-09,-2
2020-03-10,0
2020-03-11,-2
2020-03-12,-1
2020-03-13,-1
2020-03-14,-4
2020-03-15,-7
2020-03-16,-10
2020-03-17,-7
2020-03-18,-8
2020-03-19,-9
2020-03-20,-13
2020-03-21,-15
2020-03-22,-20
2020-03-23,-17
2020-03-24,-18
2020-03-25,-15
2020-03-26,-17
2020-03-27,-21
2020-03-28,-15
2020-03-29,-15
2020-03-30,-31
2020-03-31,-29
2020-04-01,-32
2020-04-02,-30
2020-04-03,-32
2020-04-04,-36
2020-04-05,-33
2020-04-06,-31
2020-04-07,-28
2020-04-08,-29
2020-04-09,-28
2020-04-10,-34
2020-04-11,-34
