date,GH
2020-02-15,0
2020-02-16,-3
2020-02-17,-4
2020-02-18,-3
2020-02-19,-4
2020-02-20,-3
2020-02-21,-3
2020-02-22,-3
2020-02-23,-3
2020-02-24,-5
2020-02-25,-3
2020-02-26,-3
2020-02-27,-2
2020-02-28,-2
2020-02-29,0
2020-03-01,-1
2020-03-02,-1
2020-03-03,-1
2020-03-04,3
2020-03-05,5
2020-03-06,-1
2020-03-07,-2
2020-03-08,-1
2020-03-09,-3
2020-03-10,-1
2020-03-11,-3
2020-03-12,-2
2020-03-13,-2
2020-03-14,-5
2020-03-15,-6
2020-03-16,-6
2020-03-17,-8
2020-03-18,-10
2020-03-19,-12
2020-03-20,-15
2020-03-21,-14
2020-03-22,-24
2020-03-23,-22
2020-03-24,-23
2020-03-25,-20
2020-03-26,-16
2020-03-27,-24
2020-03-28,-13
2020-03-29,-15
2020-03-30,-53
2020-03-31,-52
2020-04-01,-54
2020-04-02,-53
2020-04-03,-54
2020-04-04,-56
2020-04-05,-52
2020-04-06,-49
2020-04-07,-48
2020-04-08,-49
2020-04-09,-47
2020-04-10,-57
2020-04-11,-54
