date,TZ
2020-02-15,3
2020-02-16,1
2020-02-17,-1
2020-02-18,0
2020-02-19,-2
2020-02-20,-1
2020-02-21,-3
2020-02-22,-4
2020-02-23,-11
2020-02-24,0
2020-02-25,-3
2020-02-26,-1
2020-02-27,0
2020-02-28,-2
2020-02-29,0
2020-03-01,0
2020-03-02,-1
2020-03-03,4
2020-03-04,0
2020-03-05,4
2020-03-06,5
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,4
2020-03-11,3
2020-03-12,4
2020-03-13,3
2020-03-14,0
2020-03-15,-2
2020-03-16,0
2020-03-17,-2
2020-03-18,-2
2020-03-19,-3
2020-03-20,-3
2020-03-21,-8
2020-03-22,-10
2020-03-23,-5
2020-03-24,-5
2020-03-25,-5
2020-03-26,-4
2020-03-27,-6
2020-03-28,-7
2020-03-29,-7
2020-03-30,-6
2020-03-31,-8
2020-04-01,-7
2020-04-02,-9
2020-04-03,-7
2020-04-04,-11
2020-04-05,-13
2020-04-06,-8
2020-04-07,-15
2020-04-08,-8
2020-04-09,-6
2020-04-10,-15
2020-04-11,-15
